SmartMeter,Timestamp,A+,A-,R+,R-,Overload,Curtailment
51,2020-04-06 13:00:00.0,898,0,1,259,0,0
52,2020-04-06 13:00:00.0,353,0,276,1,0,0
53,2020-04-06 13:00:00.0,496,0,71,50,0,0
54,2020-04-06 13:00:00.0,88,0,15,1,0,0
55,2020-04-06 13:00:00.0,454,0,27,67,0,0
56,2020-04-06 13:00:00.0,432,0,120,1,0,0
57,2020-04-06 13:00:00.0,1088,0,719,0,0,0
58,2020-04-06 13:00:00.0,68,0,35,10,0,0
35,2020-04-06 13:00:00.0,526,0,365,98,0,0
36,2020-04-06 13:00:00.0,1584,0,92,38,0,0
37,2020-04-06 13:00:00.0,151,0,135,2,0,0
38,2020-04-06 13:00:00.0,635,0,72,30,0,0
39,2020-04-06 13:00:00.0,46,0,36,0,0,0
40,2020-04-06 13:00:00.0,3181,0,191,0,0,0
41,2020-04-06 13:00:00.0,309,0,14,44,0,0
42,2020-04-06 13:00:00.0,3579,0,254,42,1,0
43,2020-04-06 13:00:00.0,1,0,22,0,0,0
44,2020-04-06 13:00:00.0,3584,0,25,110,1,0
45,2020-04-06 13:00:00.0,1313,0,79,8,0,0
46,2020-04-06 13:00:00.0,3585,0,16,21,1,0
47,2020-04-06 13:00:00.0,826,0,28,37,0,0
48,2020-04-06 13:00:00.0,1287,0,284,7,0,0
212,2020-04-06 13:00:00.0,160,0,5,155,0,0
213,2020-04-06 13:00:00.0,861,0,7,60,0,0
214,2020-04-06 13:00:00.0,1418,0,96,65,0,0
215,2020-04-06 13:00:00.0,421,0,304,3,0,0
216,2020-04-06 13:00:00.0,299,0,2,9,0,0
217,2020-04-06 13:00:00.0,1065,0,136,82,0,0
218,2020-04-06 13:00:00.0,0,1440,911,0,0,0
219,2020-04-06 13:00:00.0,3185,0,14,129,0,0
90,2020-04-06 13:00:00.0,3585,0,3,55,1,0
91,2020-04-06 13:00:00.0,3583,0,1,117,1,0
92,2020-04-06 13:00:00.0,3584,0,85,7,1,0
93,2020-04-06 13:00:00.0,3585,0,15,38,1,0
94,2020-04-06 13:00:00.0,773,0,59,98,0,0
95,2020-04-06 13:00:00.0,97,0,76,0,0,0
96,2020-04-06 13:00:00.0,562,0,48,3,0,0
97,2020-04-06 13:00:00.0,774,0,136,7,0,0
98,2020-04-06 13:00:00.0,931,0,19,254,0,0
99,2020-04-06 13:00:00.0,634,0,8,104,0,0
100,2020-04-06 13:00:00.0,130,0,3,560,0,0
101,2020-04-06 13:00:00.0,5,0,10,0,0,0
7,2020-04-06 13:00:00.0,312,0,1083,1,0,0
8,2020-04-06 13:00:00.0,66,0,50,2,0,0
9,2020-04-06 13:00:00.0,213,0,189,128,0,0
211,2020-04-06 13:00:00.0,1438,0,14,51,0,0
1,2020-04-06 13:00:00.0,322,0,149,0,0,0
2,2020-04-06 13:00:00.0,3585,0,13,81,1,0
3,2020-04-06 13:00:00.0,1246,0,44,79,0,0
4,2020-04-06 13:00:00.0,224,0,0,148,0,0
5,2020-04-06 13:00:00.0,3581,0,4,173,1,0
6,2020-04-06 13:00:00.0,3585,0,17,64,1,0
49,2020-04-06 13:00:00.0,3585,0,13,7,1,0
50,2020-04-06 13:00:00.0,142,0,130,36,0,0
144,2020-04-06 13:00:00.0,1775,0,1,372,0,0
145,2020-04-06 13:00:00.0,3581,0,180,1,1,0
110,2020-04-06 13:00:00.0,66,0,191,33,0,0
111,2020-04-06 13:00:00.0,3170,0,327,1,0,0
112,2020-04-06 13:00:00.0,820,0,1,99,0,0
113,2020-04-06 13:00:00.0,3187,0,29,3,0,0
114,2020-04-06 13:00:00.0,3584,0,160,81,1,0
115,2020-04-06 13:00:00.0,1674,0,313,4,0,0
116,2020-04-06 13:00:00.0,3575,0,288,12,1,0
201,2020-04-06 13:00:00.0,607,0,60,17,0,0
202,2020-04-06 13:00:00.0,3582,0,339,173,1,0
203,2020-04-06 13:00:00.0,354,0,34,12,0,0
204,2020-04-06 13:00:00.0,182,0,49,21,0,0
205,2020-04-06 13:00:00.0,1491,0,156,22,0,0
206,2020-04-06 13:00:00.0,1937,0,0,1297,0,0
207,2020-04-06 13:00:00.0,0,0,0,13,0,0
208,2020-04-06 13:00:00.0,3585,0,3,19,1,0
209,2020-04-06 13:00:00.0,385,0,12,43,0,0
210,2020-04-06 13:00:00.0,3182,2041,886,1071,0,0
117,2020-04-06 13:00:00.0,3583,0,0,127,1,0
118,2020-04-06 13:00:00.0,3585,0,20,44,1,0
119,2020-04-06 13:00:00.0,3580,0,9,204,1,0
120,2020-04-06 13:00:00.0,425,0,39,6,0,0
121,2020-04-06 13:00:00.0,1280,0,214,0,0,0
122,2020-04-06 13:00:00.0,3585,0,44,17,1,0
123,2020-04-06 13:00:00.0,606,0,30,53,0,0
124,2020-04-06 13:00:00.0,591,0,474,24,0,0
125,2020-04-06 13:00:00.0,679,0,8,0,0,0
126,2020-04-06 13:00:00.0,0,1053,67,0,0,0
127,2020-04-06 13:00:00.0,539,0,51,0,0,0
59,2020-04-06 13:00:00.0,456,0,80,4,0,0
60,2020-04-06 13:00:00.0,1496,0,97,639,0,0
61,2020-04-06 13:00:00.0,86,0,15,13,0,0
62,2020-04-06 13:00:00.0,620,0,46,77,0,0
63,2020-04-06 13:00:00.0,934,0,28,71,0,0
64,2020-04-06 13:00:00.0,2908,0,122,3,0,0
65,2020-04-06 13:00:00.0,453,0,8,2,0,0
66,2020-04-06 13:00:00.0,147,0,0,152,0,0
69,2020-04-06 13:00:00.0,38,0,195,21,0,0
70,2020-04-06 13:00:00.0,317,0,7,155,0,0
71,2020-04-06 13:00:00.0,3568,0,353,0,1,0
72,2020-04-06 13:00:00.0,645,0,14,52,0,0
73,2020-04-06 13:00:00.0,653,0,15,62,0,0
74,2020-04-06 13:00:00.0,797,0,0,17,0,0
75,2020-04-06 13:00:00.0,3585,0,75,8,1,0
76,2020-04-06 13:00:00.0,3585,0,72,0,1,0
77,2020-04-06 13:00:00.0,133,0,3,48,0,0
78,2020-04-06 13:00:00.0,3584,0,93,7,1,0
79,2020-04-06 13:00:00.0,3585,0,38,7,1,0
80,2020-04-06 13:00:00.0,3585,0,0,56,1,0
81,2020-04-06 13:00:00.0,0,4041,14,21,0,0
82,2020-04-06 13:00:00.0,307,0,117,21,0,0
83,2020-04-06 13:00:00.0,1159,0,123,40,0,0
84,2020-04-06 13:00:00.0,41,0,131,3,0,0
85,2020-04-06 13:00:00.0,3186,0,94,0,0,0
86,2020-04-06 13:00:00.0,571,0,207,1,0,0
87,2020-04-06 13:00:00.0,1450,0,58,1,0,0
88,2020-04-06 13:00:00.0,526,0,143,38,0,0
89,2020-04-06 13:00:00.0,137,0,26,185,0,0
102,2020-04-06 13:00:00.0,3585,0,0,71,1,0
103,2020-04-06 13:00:00.0,322,0,188,4,0,0
104,2020-04-06 13:00:00.0,410,0,32,2,0,0
105,2020-04-06 13:00:00.0,3578,0,222,1,1,0
106,2020-04-06 13:00:00.0,3585,0,8,49,1,0
107,2020-04-06 13:00:00.0,831,0,0,127,0,0
108,2020-04-06 13:00:00.0,1184,0,8,24,0,0
109,2020-04-06 13:00:00.0,3187,0,116,86,0,0
178,2020-04-06 13:00:00.0,3585,0,10,0,1,0
179,2020-04-06 13:00:00.0,264,0,15,1,0,0
180,2020-04-06 13:00:00.0,5,0,207,8,0,0
181,2020-04-06 13:00:00.0,1488,0,6,62,0,0
182,2020-04-06 13:00:00.0,3585,0,92,32,1,0
183,2020-04-06 13:00:00.0,970,0,7,33,0,0
184,2020-04-06 13:00:00.0,241,0,412,3,0,0
185,2020-04-06 13:00:00.0,922,0,13,206,0,0
138,2020-04-06 13:00:00.0,3585,0,225,274,1,0
139,2020-04-06 13:00:00.0,646,0,15,142,0,0
140,2020-04-06 13:00:00.0,673,0,46,51,0,0
141,2020-04-06 13:00:00.0,3584,0,12,99,1,0
142,2020-04-06 13:00:00.0,592,0,22,53,0,0
143,2020-04-06 13:00:00.0,581,0,15,68,0,0
128,2020-04-06 13:00:00.0,3584,0,1,81,1,0
129,2020-04-06 13:00:00.0,3582,0,0,162,1,0
130,2020-04-06 13:00:00.0,45,0,26,0,0,0
131,2020-04-06 13:00:00.0,307,0,3,46,0,0
132,2020-04-06 13:00:00.0,54,0,2,211,0,0
133,2020-04-06 13:00:00.0,859,0,17,26,0,0
134,2020-04-06 13:00:00.0,991,0,39,49,0,0
135,2020-04-06 13:00:00.0,555,0,57,52,0,0
136,2020-04-06 13:00:00.0,475,0,24,81,0,0
137,2020-04-06 13:00:00.0,2048,0,45,353,0,0
162,2020-04-06 13:00:00.0,777,0,1,177,0,0
163,2020-04-06 13:00:00.0,3471,0,899,0,1,0
164,2020-04-06 13:00:00.0,542,0,13,55,0,0
165,2020-04-06 13:00:00.0,12,0,34,134,0,0
166,2020-04-06 13:00:00.0,3585,0,40,81,1,0
167,2020-04-06 13:00:00.0,204,0,182,1,0,0
22,2020-04-06 13:00:00.0,215,0,26,13,0,0
23,2020-04-06 13:00:00.0,561,0,210,15,0,0
24,2020-04-06 13:00:00.0,1035,0,655,8,0,0
25,2020-04-06 13:00:00.0,3585,0,10,29,1,0
26,2020-04-06 13:00:00.0,3585,0,5,2,1,0
27,2020-04-06 13:00:00.0,452,0,3,6,0,0
28,2020-04-06 13:00:00.0,636,0,124,218,0,0
29,2020-04-06 13:00:00.0,590,0,21,6,0,0
30,2020-04-06 13:00:00.0,3585,0,91,132,1,0
31,2020-04-06 13:00:00.0,2599,0,1845,0,0,0
32,2020-04-06 13:00:00.0,85,0,120,105,0,0
33,2020-04-06 13:00:00.0,7102,4989,429,8213,0,0
34,2020-04-06 13:00:00.0,1454,0,145,3,0,0
67,2020-04-06 13:00:00.0,186,0,332,0,0,0
68,2020-04-06 13:00:00.0,317,0,18,22,0,0
168,2020-04-06 13:00:00.0,3585,0,88,36,1,0
169,2020-04-06 13:00:00.0,689,0,141,4,0,0
170,2020-04-06 13:00:00.0,117,0,0,97,0,0
171,2020-04-06 13:00:00.0,1450,0,82,16,0,0
172,2020-04-06 13:00:00.0,172,0,26,35,0,0
186,2020-04-06 13:00:00.0,652,0,40,237,0,0
187,2020-04-06 13:00:00.0,692,0,104,361,0,0
188,2020-04-06 13:00:00.0,3575,0,275,1,1,0
189,2020-04-06 13:00:00.0,317,0,49,1,0,0
190,2020-04-06 13:00:00.0,3585,0,86,113,1,0
191,2020-04-06 13:00:00.0,2030,0,10,49,0,0
192,2020-04-06 13:00:00.0,969,0,6,27,0,0
193,2020-04-06 13:00:00.0,0,0,0,11,0,0
194,2020-04-06 13:00:00.0,3559,0,342,773,1,0
195,2020-04-06 13:00:00.0,195,0,344,21,0,0
196,2020-04-06 13:00:00.0,1002,0,21,24,0,0
197,2020-04-06 13:00:00.0,1820,0,22,92,0,0
198,2020-04-06 13:00:00.0,2472,0,389,0,0,0
199,2020-04-06 13:00:00.0,1323,0,51,27,0,0
200,2020-04-06 13:00:00.0,226,0,85,0,0,0
146,2020-04-06 13:00:00.0,447,0,108,79,0,0
147,2020-04-06 13:00:00.0,3585,0,102,92,1,0
148,2020-04-06 13:00:00.0,328,0,84,6,0,0
149,2020-04-06 13:00:00.0,3585,0,21,20,1,0
150,2020-04-06 13:00:00.0,3585,0,44,5,1,0
151,2020-04-06 13:00:00.0,922,0,5,14,0,0
152,2020-04-06 13:00:00.0,588,0,39,461,0,0
153,2020-04-06 13:00:00.0,3583,0,37,152,1,0
10,2020-04-06 13:00:00.0,113,0,1,109,0,0
11,2020-04-06 13:00:00.0,912,0,50,13,0,0
12,2020-04-06 13:00:00.0,309,0,173,1,0,0
13,2020-04-06 13:00:00.0,85,0,158,116,0,0
14,2020-04-06 13:00:00.0,3570,0,2,339,1,0
15,2020-04-06 13:00:00.0,451,0,55,86,0,0
16,2020-04-06 13:00:00.0,1133,0,174,15,0,0
17,2020-04-06 13:00:00.0,739,0,307,135,0,0
18,2020-04-06 13:00:00.0,81,0,22,2,0,0
19,2020-04-06 13:00:00.0,0,399,0,168,0,0
20,2020-04-06 13:00:00.0,3585,0,9,10,1,0
21,2020-04-06 13:00:00.0,136,0,1,292,0,0
154,2020-04-06 13:00:00.0,391,0,180,3,0,0
155,2020-04-06 13:00:00.0,619,0,0,310,0,0
156,2020-04-06 13:00:00.0,3585,0,67,111,1,0
157,2020-04-06 13:00:00.0,3585,0,0,48,1,0
158,2020-04-06 13:00:00.0,429,0,113,44,0,0
159,2020-04-06 13:00:00.0,1473,0,61,247,0,0
160,2020-04-06 13:00:00.0,1076,0,0,374,0,0
161,2020-04-06 13:00:00.0,3065,0,995,123,0,0
173,2020-04-06 13:00:00.0,229,0,30,4,0,0
174,2020-04-06 13:00:00.0,385,0,362,0,0,0
175,2020-04-06 13:00:00.0,3585,0,40,0,1,0
176,2020-04-06 13:00:00.0,0,5971,293,523,0,0
177,2020-04-06 13:00:00.0,3585,0,36,0,1,0
