Scenario,Experiment,Independent_run,Solution,Initial_UOI,Final_UOI,UOI_std,Gap(%),LB,LB_std,UB,UB_std,SAOFI,SAODI,CAODI,CBLSAOFI,CBLSAODI,CBLODI,ASOFI,ASODI,Actions,CPU_Time(ms)
1,1,1,0,0.022533139026677997,0.0053504488396195074,1.8536227684630812E-4,1.23972849524566,0.005284117800731203,30.0,0.005416779878507812,6.327608910046722,0.2538812785388127,3.808219178082192,15.000000000000005,0.1387096774193548,2.0806451612903234,15.000000000000009,0.3172713250939891,4.759069876409837,1.0,468167.0
1,1,1,1,0.022533139026677997,0.005506273364333325,6.549430231912898E-5,0.42563878576027675,0.0054828365292447345,30.0,0.005529710199421915,15.392463485685168,0.2675799086757991,4.041095890410959,15.102389078498291,0.1473118279569892,2.225806451612904,15.1094890510949,0.330037608678923,4.9810339989988615,2.0,468167.0
1,1,1,2,0.022533139026677997,0.005519015278224539,1.4696819120860248E-4,0.9529216561599912,0.005466423386431559,30.0,0.005571607170017519,8.130308373053046,0.2589041095890411,4.047945205479452,15.634920634920634,0.14301075268817198,2.241935483870969,15.676691729323323,0.3142298959985616,4.8825306706308895,2.0,468167.0
1,1,1,3,0.022533139026677997,0.005259977846779233,1.1642412538085996E-4,0.7920534919235308,0.005218316008569414,30.0,0.005301639684989053,9.354318268671332,0.2415525114155251,3.678082191780822,15.226843100189036,0.13333333333333328,2.03225806451613,15.24193548387098,0.29589220932158095,4.496205353003936,2.0,468167.0
1,1,1,4,0.022533139026677997,0.00514790619096237,8.27728010116569E-5,0.575376965684057,0.005118286324524549,30.0,0.0051775260574001905,10.92258175474437,0.2318112633181126,3.5319634703196345,15.236375574523967,0.12795698924731178,1.9516129032258074,15.252100840336148,0.28668637447797934,4.3562996953213915,2.0,468167.0
1,1,2,0,0.02237931720549958,0.005631345857897104,8.893620719924548E-5,0.5651475476659522,0.005599520444880611,30.0,0.005663171270913598,12.51082031039328,0.2744292237442922,4.226027397260274,15.399334442595675,0.15053763440860207,2.3225806451612914,15.428571428571443,0.33676125994337,5.162140727345963,2.0,243519.0
1,1,2,1,0.02237931720549958,0.0053394307491568685,1.3009878985099818E-4,0.8719141839659297,0.005292875495111931,30.0,0.005385986003201806,6.981183738228658,0.2438356164383561,3.7671232876712333,15.449438202247196,0.13333333333333328,2.064516129032259,15.483870967741948,0.30398090502179553,4.6693343104775415,1.0,243519.0
1,1,2,2,0.02237931720549958,0.005404358018352928,6.801887393294862E-5,0.45038173554756133,0.005380017776914666,30.0,0.00542869825979119,15.061241535760436,0.2520547945205479,3.835616438356164,15.217391304347828,0.14086021505376337,2.145161290322582,15.229007633587804,0.32171333036050814,4.881648470158691,1.0,243519.0
1,1,2,3,0.02237931720549958,0.006057708278834822,5.9981880095842145E-5,0.35432937906186174,0.0060362440387050475,30.0,0.006079172518964596,15.612872989570366,0.31324200913242006,4.780821917808217,15.262390670553932,0.17204301075268807,2.6290322580645173,15.281250000000016,0.39723792005927444,6.044476452852047,3.0,243519.0
1,1,2,4,0.02237931720549958,0.006039160666841515,6.104153433390655E-5,0.3616964961518377,0.00601731723431257,30.0,0.006061004099370461,17.475324314114083,0.31917808219178084,4.78767123287671,14.999999999999993,0.17526881720430101,2.6290322580645173,15.000000000000012,0.3965728745072679,5.9485931176090165,3.0,243519.0
1,1,3,0,0.022752595309092936,0.005406955555302256,8.768269891828159E-5,0.5803053218776472,0.005375578704463278,30.0,0.005438332406141234,12.95767155070025,0.2517503805175038,3.8926940639269403,15.462515114873034,0.13870967741935478,2.1451612903225814,15.46511627906978,0.31320869047767624,4.840809256782422,2.0,371548.0
1,1,3,1,0.022752595309092936,0.005299397470157908,1.1479896381044624E-4,0.775187780158719,0.005258317188547204,30.0,0.005340477751768612,6.99041385713786,0.24353120243531196,3.7351598173515987,15.337500000000007,0.13548387096774187,2.0806451612903234,15.357142857142872,0.30252405395025533,4.618183255389175,1.0,371548.0
1,1,3,2,0.022752595309092936,0.005434531851258905,1.3744494883348983E-4,0.9050281536986565,0.005385347807983291,30.0,0.005483715894534519,7.712363401016903,0.2547945205479452,3.931506849315068,15.430107526881718,0.13978494623655907,2.161290322580646,15.461538461538474,0.3135716493305596,4.8214494748656245,2.0,371548.0
1,1,3,3,0.022752595309092936,0.005309466295879486,1.4947057386162878E-4,1.0073961288070938,0.005255978937954479,30.0,0.005362953653804493,5.223134401963021,0.23957382039573816,3.7100456621004563,15.48602287166455,0.13440860215053757,2.0806451612903234,15.480000000000013,0.3009266150411731,4.656698732135409,2.0,371548.0
1,1,3,4,0.022752595309092936,0.005338805546638685,1.0322250492358222E-4,0.6918719679528488,0.00530186784763798,30.0,0.0053757432456393904,8.94904964278822,0.2401826484018265,3.7397260273972597,15.570342205323191,0.13333333333333325,2.0806451612903234,15.604838709677436,0.30347575469718957,4.698408154744936,2.0,371548.0
1,1,4,0,0.02196993708893178,0.005205849626404486,1.0081046964333346E-4,0.692962068628299,0.005169775063143675,30.0,0.005241924189665297,10.277973248295446,0.23318112633181123,3.5799086757990874,15.352480417754574,0.12903225806451607,1.9838709677419364,15.375000000000014,0.29010541680067947,4.434689199773765,2.0,254795.0
1,1,4,1,0.02196993708893178,0.005411238192979051,1.0146370451461143E-4,0.6709798952205474,0.0053749298726216655,30.0,0.005447546513336436,11.958562202901827,0.24505327245053266,3.8127853881278546,15.559006211180131,0.1365591397849462,2.1290322580645173,15.590551181102377,0.3127423162080158,4.832500119955061,1.0,254795.0
