Scenario,Experiment,Deterministic_CPU_Time(s),Solution_Number,Deterministic_obj1,Deterministic_obj2,Deterministic_obj3,UOI,UOI_std,Error(%),LB,UB,N,R,SAOFI,SAODI,CAODI,CBLSAOFI,CBLSAODI,CBLODI,ASOFI,ASODI,CPU_Time(ms)
1,1,2436.0,1,198.0,4.0,5.0,0.037318849045868394,0.0030158363593326657,1.0119348686528564,0.03694120659979333,0.03769649149194346,245.0,8.023200396666496,2.26525020967291,43.54878389712052,19.224712445080726,1.4886109282422644,28.907834101382484,19.419334866442597,3.5835780617384088,70.3267418428564,16767.0
1,1,2436.0,2,198.0,4.0,7.0,0.03577134053253162,0.0022338615944598665,1.2624471042562295,0.035319746279825044,0.0362229347852382,94.0,9.180872253044603,2.3667541047313714,44.240017487612924,18.692274537170057,1.48936170212766,27.83802333562114,18.691244239631335,3.4972514210561383,65.69497344844557,7468.0
1,1,2436.0,3,198.0,4.0,8.0,0.013325933131407753,3.621164023843659E-4,0.9724023759849603,0.013196351441015776,0.013455514821799729,30.0,11.998729471005818,0.8668188736681889,13.32876712328767,15.376646180860401,0.5548387096774193,8.53225806451613,15.377906976744189,1.2742688362102825,19.618090266020705,3017.0
1,1,2436.0,4,198.0,12.0,17.0,0.010713520635698635,6.199249332704535E-4,2.07062921597774,0.010491683347356055,0.010935357924041215,30.0,10.015336702771773,0.6328767123287672,9.712328767123289,15.346320346320347,0.4086021505376343,6.258064516129033,15.315789473684216,0.9246612864313358,14.18745491275909,2666.0
1,2,2288.0,1,190.0,4.0,5.0,0.028817247604206092,0.007119359096662978,1.50731709167357,0.028382880305718002,0.029251614902694182,1032.0,2.7946730934934894,1.5625597323988496,32.95330253796322,21.089307406746713,0.9437359339834959,20.357276819204756,21.570945945945898,2.658652457810367,53.871499575694685,54544.0
1,2,2288.0,2,190.0,4.0,6.0,0.043057110661718176,0.0012284049191020106,1.020920930565941,0.04261753160687576,0.043496689716560594,30.0,7.128275960351651,2.6080669710806696,55.1689497716895,21.1531952144733,1.6397849462365588,36.24193548387097,22.1016393442623,4.6296135025760785,99.16301463773998,3027.0
1,2,2288.0,3,190.0,12.0,15.0,0.022634593757562167,4.3146325329312637E-4,0.6821290628924164,0.022480196615274204,0.02278899089985013,30.0,16.16025569241688,1.2952815829528157,22.780821917808215,17.587544065804934,0.7774193548387096,20.177419354838708,25.95435684647303,2.258352238855503,43.93198740543356,3055.0
1,3,2694.0,1,211.0,3.0,4.0,0.03332041189014386,9.945697766964516E-4,1.0681207211872135,0.03296450966636031,0.033676314113927415,30.0,10.104595805330018,1.9986301369863009,34.550228310502284,17.286954535069686,1.6279569892473116,28.774193548387093,17.675033025099076,3.7700212396111876,64.26729483899416,3413.0
1,3,2694.0,2,211.0,3.0,6.0,0.01806337762050545,0.0015753717640931404,2.370492009104065,0.017635186697437077,0.018491568543573825,52.0,5.309764842881115,0.9733052335792061,17.61064278187566,18.09364850234573,0.7878411910669973,14.590570719602981,18.51968503937009,1.688985484325837,27.201187726013963,6645.0
1,3,2694.0,3,211.0,4.0,7.0,0.04949428708665114,0.0344434190556247,0.6020172434097559,0.049196322943886775,0.04979225122941551,51333.0,1.0618776839653226,3.062041943520786,63.721358446820595,20.810086740207332,2.1660593103976584,49.65794499293981,22.92547796570875,4.869145861889711,110.22061376593813,9052367.0
