SmartMeter,Timestamp,A+,A-,R+,R-,Overload,Curtailment
138,2020-04-06 13:00:00.0,1790,0,170,110,0,0
139,2020-04-06 13:00:00.0,1436,0,63,39,0,0
140,2020-04-06 13:00:00.0,2601,0,8,372,0,0
141,2020-04-06 13:00:00.0,677,0,62,68,0,0
142,2020-04-06 13:00:00.0,3585,0,4,43,1,0
143,2020-04-06 13:00:00.0,3585,0,117,133,1,0
162,2020-04-06 13:00:00.0,687,0,92,133,0,0
163,2020-04-06 13:00:00.0,2799,0,236,0,0,0
164,2020-04-06 13:00:00.0,2325,0,56,93,0,0
165,2020-04-06 13:00:00.0,690,0,2,65,0,0
166,2020-04-06 13:00:00.0,47,0,103,0,0,0
167,2020-04-06 13:00:00.0,3577,0,0,242,1,0
67,2020-04-06 13:00:00.0,940,0,0,95,0,0
68,2020-04-06 13:00:00.0,1550,0,45,64,0,0
35,2020-04-06 13:00:00.0,532,0,188,11,0,0
36,2020-04-06 13:00:00.0,450,0,180,9,0,0
37,2020-04-06 13:00:00.0,3583,0,166,38,1,0
38,2020-04-06 13:00:00.0,778,0,29,53,0,0
39,2020-04-06 13:00:00.0,3585,0,74,4,1,0
40,2020-04-06 13:00:00.0,224,0,44,4,0,0
41,2020-04-06 13:00:00.0,3583,0,130,0,1,0
42,2020-04-06 13:00:00.0,732,0,144,1,0,0
43,2020-04-06 13:00:00.0,1277,0,21,5,0,0
44,2020-04-06 13:00:00.0,3584,0,25,133,1,0
45,2020-04-06 13:00:00.0,3585,0,46,82,1,0
46,2020-04-06 13:00:00.0,3577,0,4,244,1,0
47,2020-04-06 13:00:00.0,207,0,57,18,0,0
48,2020-04-06 13:00:00.0,554,0,78,49,0,0
1,2020-04-06 13:00:00.0,280,0,0,209,0,0
2,2020-04-06 13:00:00.0,3580,0,0,199,1,0
3,2020-04-06 13:00:00.0,1107,0,14,37,0,0
4,2020-04-06 13:00:00.0,88,0,52,0,0,0
5,2020-04-06 13:00:00.0,313,0,0,431,0,0
6,2020-04-06 13:00:00.0,76,0,3,78,0,0
146,2020-04-06 13:00:00.0,453,0,0,81,0,0
147,2020-04-06 13:00:00.0,288,0,189,12,0,0
148,2020-04-06 13:00:00.0,3574,0,3,294,1,0
149,2020-04-06 13:00:00.0,13,0,28,63,0,0
150,2020-04-06 13:00:00.0,3585,0,16,79,1,0
151,2020-04-06 13:00:00.0,326,0,93,35,0,0
152,2020-04-06 13:00:00.0,32,0,67,4,0,0
153,2020-04-06 13:00:00.0,724,0,101,3,0,0
102,2020-04-06 13:00:00.0,3556,0,473,16,1,0
103,2020-04-06 13:00:00.0,482,0,102,136,0,0
104,2020-04-06 13:00:00.0,3585,0,6,0,1,0
105,2020-04-06 13:00:00.0,3585,0,88,47,1,0
106,2020-04-06 13:00:00.0,568,0,124,29,0,0
107,2020-04-06 13:00:00.0,29,0,10,32,0,0
108,2020-04-06 13:00:00.0,319,0,124,1,0,0
109,2020-04-06 13:00:00.0,9,0,20,2,0,0
117,2020-04-06 13:00:00.0,65,0,13,18,0,0
118,2020-04-06 13:00:00.0,224,0,135,4,0,0
119,2020-04-06 13:00:00.0,1326,0,2898,0,0,0
120,2020-04-06 13:00:00.0,1521,0,57,37,0,0
121,2020-04-06 13:00:00.0,1,0,569,15,0,0
122,2020-04-06 13:00:00.0,325,0,22,8,0,0
123,2020-04-06 13:00:00.0,166,0,102,0,0,0
124,2020-04-06 13:00:00.0,90,0,3,134,0,0
125,2020-04-06 13:00:00.0,1066,0,66,34,0,0
126,2020-04-06 13:00:00.0,0,1136,0,5,0,0
127,2020-04-06 13:00:00.0,3577,0,245,3,1,0
173,2020-04-06 13:00:00.0,820,0,21,139,0,0
174,2020-04-06 13:00:00.0,3585,0,27,2,1,0
175,2020-04-06 13:00:00.0,3577,0,250,2,1,0
