SmartMeter,Timestamp,A+,A-,R+,R-,Overload,Curtailment
90,2020-04-06 13:00:00.0,80,0,8,1,0,0
91,2020-04-06 13:00:00.0,3584,0,1,104,1,0
92,2020-04-06 13:00:00.0,156,0,0,155,0,0
93,2020-04-06 13:00:00.0,3579,0,216,0,1,0
94,2020-04-06 13:00:00.0,1420,0,61,3,0,0
95,2020-04-06 13:00:00.0,553,0,125,27,0,0
96,2020-04-06 13:00:00.0,272,0,8,29,0,0
97,2020-04-06 13:00:00.0,3157,0,434,0,0,0
98,2020-04-06 13:00:00.0,269,0,76,0,0,0
99,2020-04-06 13:00:00.0,3580,0,246,59,1,0
100,2020-04-06 13:00:00.0,447,0,485,1,0,0
101,2020-04-06 13:00:00.0,342,0,34,7,0,0
110,2020-04-06 13:00:00.0,1193,0,0,126,0,0
111,2020-04-06 13:00:00.0,114,0,17,36,0,0
112,2020-04-06 13:00:00.0,422,0,94,61,0,0
113,2020-04-06 13:00:00.0,688,0,130,15,0,0
114,2020-04-06 13:00:00.0,3585,0,25,16,1,0
115,2020-04-06 13:00:00.0,117,0,145,12,0,0
116,2020-04-06 13:00:00.0,25,0,27,189,0,0
102,2020-04-06 13:00:00.0,655,0,0,91,0,0
103,2020-04-06 13:00:00.0,1487,0,18,158,0,0
104,2020-04-06 13:00:00.0,365,0,243,16,0,0
105,2020-04-06 13:00:00.0,673,0,398,17,0,0
106,2020-04-06 13:00:00.0,416,0,35,69,0,0
107,2020-04-06 13:00:00.0,515,0,153,0,0,0
108,2020-04-06 13:00:00.0,415,0,26,57,0,0
109,2020-04-06 13:00:00.0,1412,0,10,12,0,0
178,2020-04-06 13:00:00.0,539,0,19,300,0,0
179,2020-04-06 13:00:00.0,146,0,0,427,0,0
180,2020-04-06 13:00:00.0,3585,0,37,3,1,0
181,2020-04-06 13:00:00.0,302,0,27,12,0,0
182,2020-04-06 13:00:00.0,294,0,167,5,0,0
183,2020-04-06 13:00:00.0,1299,0,34,2,0,0
