SmartMeter,Timestamp,A+,A-,R+,R-,Overload,Curtailment
54,2020-04-06 13:00:00.0,288,0,122,0,0,0
55,2020-04-06 13:00:00.0,493,0,0,155,0,0
56,2020-04-06 13:00:00.0,1097,0,63,2,0,0
57,2020-04-06 13:00:00.0,1650,0,0,289,0,0
58,2020-04-06 13:00:00.0,334,0,18,6,0,0
162,2020-04-06 13:00:00.0,314,0,160,125,0,0
163,2020-04-06 13:00:00.0,709,0,20,5,0,0
164,2020-04-06 13:00:00.0,1296,0,76,111,0,0
165,2020-04-06 13:00:00.0,634,0,11,194,0,0
166,2020-04-06 13:00:00.0,3585,0,24,54,1,0
167,2020-04-06 13:00:00.0,5,0,149,84,0,0
102,2020-04-06 13:00:00.0,282,0,85,145,0,0
103,2020-04-06 13:00:00.0,425,0,12,5,0,0
104,2020-04-06 13:00:00.0,0,0,0,0,0,0
105,2020-04-06 13:00:00.0,355,0,421,0,0,0
106,2020-04-06 13:00:00.0,886,0,25,37,0,0
107,2020-04-06 13:00:00.0,851,0,21,9,0,0
108,2020-04-06 13:00:00.0,113,0,63,26,0,0
109,2020-04-06 13:00:00.0,78,0,229,1,0,0
1,2020-04-06 13:00:00.0,71,0,0,42,0,0
2,2020-04-06 13:00:00.0,123,0,15,19,0,0
3,2020-04-06 13:00:00.0,290,0,5,103,0,0
4,2020-04-06 13:00:00.0,230,0,12,8,0,0
5,2020-04-06 13:00:00.0,282,0,13,103,0,0
6,2020-04-06 13:00:00.0,113,0,5,95,0,0
67,2020-04-06 13:00:00.0,407,0,169,0,0,0
68,2020-04-06 13:00:00.0,441,0,8,135,0,0
146,2020-04-06 13:00:00.0,3546,0,533,2,1,0
147,2020-04-06 13:00:00.0,59,0,5,42,0,0
148,2020-04-06 13:00:00.0,132,0,41,9,0,0
149,2020-04-06 13:00:00.0,1033,0,1,59,0,0
150,2020-04-06 13:00:00.0,512,0,232,11,0,0
151,2020-04-06 13:00:00.0,2287,0,523,43,0,0
152,2020-04-06 13:00:00.0,695,0,260,0,0,0
153,2020-04-06 13:00:00.0,195,0,176,0,0,0
128,2020-04-06 13:00:00.0,271,0,2,457,0,0
129,2020-04-06 13:00:00.0,176,0,4,0,0,0
130,2020-04-06 13:00:00.0,706,0,501,12,0,0
131,2020-04-06 13:00:00.0,1079,0,130,5,0,0
132,2020-04-06 13:00:00.0,3581,0,205,24,1,0
133,2020-04-06 13:00:00.0,467,0,48,17,0,0
134,2020-04-06 13:00:00.0,2468,0,316,0,0,0
135,2020-04-06 13:00:00.0,195,0,28,28,0,0
136,2020-04-06 13:00:00.0,648,0,6,23,0,0
137,2020-04-06 13:00:00.0,288,0,66,10,0,0
144,2020-04-06 13:00:00.0,619,0,14,114,0,0
145,2020-04-06 13:00:00.0,3554,0,0,475,1,0
