SmartMeter,Timestamp,A+,A-,R+,R-,Overload,Curtailment
173,2020-04-06 13:00:00.0,950,0,494,0,0,0
174,2020-04-06 13:00:00.0,574,0,3,7,0,0
175,2020-04-06 13:00:00.0,3585,0,86,25,1,0
176,2020-04-06 13:00:00.0,0,770,7,3,0,0
177,2020-04-06 13:00:00.0,80,0,49,11,0,0
162,2020-04-06 13:00:00.0,191,0,51,8,0,0
163,2020-04-06 13:00:00.0,1371,0,19,13,0,0
164,2020-04-06 13:00:00.0,1858,0,1161,0,0,0
165,2020-04-06 13:00:00.0,462,0,23,25,0,0
166,2020-04-06 13:00:00.0,3585,0,53,53,1,0
167,2020-04-06 13:00:00.0,1160,0,10,126,0,0
186,2020-04-06 13:00:00.0,380,0,5,3,0,0
187,2020-04-06 13:00:00.0,1178,0,54,36,0,0
188,2020-04-06 13:00:00.0,51,0,46,203,0,0
189,2020-04-06 13:00:00.0,1694,0,683,24,0,0
190,2020-04-06 13:00:00.0,285,0,4,96,0,0
191,2020-04-06 13:00:00.0,3585,0,35,0,1,1
192,2020-04-06 13:00:00.0,510,0,16,83,0,0
193,2020-04-06 13:00:00.0,496,0,140,15,0,0
194,2020-04-06 13:00:00.0,52,0,472,0,0,0
195,2020-04-06 13:00:00.0,874,0,50,169,0,0
196,2020-04-06 13:00:00.0,109,0,94,0,0,0
197,2020-04-06 13:00:00.0,1071,0,23,7,0,0
198,2020-04-06 13:00:00.0,427,0,29,104,0,0
199,2020-04-06 13:00:00.0,423,0,105,132,0,0
200,2020-04-06 13:00:00.0,375,0,29,0,0,0
117,2020-04-06 13:00:00.0,530,0,35,247,0,0
118,2020-04-06 13:00:00.0,271,0,122,0,0,0
119,2020-04-06 13:00:00.0,100,0,18,44,0,0
120,2020-04-06 13:00:00.0,329,0,6,9,0,0
121,2020-04-06 13:00:00.0,3583,0,129,2,1,0
122,2020-04-06 13:00:00.0,398,0,77,0,0,0
123,2020-04-06 13:00:00.0,644,0,0,61,0,0
124,2020-04-06 13:00:00.0,2134,0,18,21,0,0
125,2020-04-06 13:00:00.0,384,0,278,6,0,0
126,2020-04-06 13:00:00.0,0,2571,140,41,0,0
127,2020-04-06 13:00:00.0,2128,0,48,54,0,0
212,2020-04-06 13:00:00.0,1466,0,2,90,0,0
213,2020-04-06 13:00:00.0,507,0,151,1,0,0
214,2020-04-06 13:00:00.0,1161,0,69,12,0,0
215,2020-04-06 13:00:00.0,777,0,318,79,0,0
216,2020-04-06 13:00:00.0,8,0,380,58,0,0
217,2020-04-06 13:00:00.0,1393,0,225,2,0,0
218,2020-04-06 13:00:00.0,0,3072,111,112,0,0
219,2020-04-06 13:00:00.0,1001,0,46,158,0,0
201,2020-04-06 13:00:00.0,3583,0,158,40,1,0
202,2020-04-06 13:00:00.0,953,0,25,36,0,0
203,2020-04-06 13:00:00.0,3583,0,162,22,1,1
204,2020-04-06 13:00:00.0,103,0,37,28,0,0
205,2020-04-06 13:00:00.0,135,0,1,131,0,0
206,2020-04-06 13:00:00.0,899,0,186,1,0,0
207,2020-04-06 13:00:00.0,473,0,6,3,0,0
208,2020-04-06 13:00:00.0,15,0,12,64,0,0
209,2020-04-06 13:00:00.0,3582,0,155,0,1,0
210,2020-04-06 13:00:00.0,0,1738,0,18,0,0
49,2020-04-06 13:00:00.0,1441,0,29,22,0,0
50,2020-04-06 13:00:00.0,264,0,11,20,0,0
67,2020-04-06 13:00:00.0,34,0,252,185,0,0
68,2020-04-06 13:00:00.0,818,0,2,9,0,0
154,2020-04-06 13:00:00.0,1511,0,98,14,0,0
