SmartMeter,Timestamp,A+,A-,R+,R-,Overload,Curtailment
155,2020-04-06 13:00:00.0,1217,0,13,20,0,0
156,2020-04-06 13:00:00.0,153,0,69,39,0,0
157,2020-04-06 13:00:00.0,121,0,57,44,0,0
158,2020-04-06 13:00:00.0,632,0,341,39,0,0
159,2020-04-06 13:00:00.0,1979,0,292,0,0,0
160,2020-04-06 13:00:00.0,282,0,301,28,0,0
161,2020-04-06 13:00:00.0,3585,0,63,6,1,0
178,2020-04-06 13:00:00.0,508,0,58,25,0,0
179,2020-04-06 13:00:00.0,13,0,1,3,0,0
180,2020-04-06 13:00:00.0,0,0,0,0,0,0
181,2020-04-06 13:00:00.0,293,0,150,0,0,0
182,2020-04-06 13:00:00.0,3579,0,215,2,1,0
183,2020-04-06 13:00:00.0,297,0,42,12,0,0
184,2020-04-06 13:00:00.0,511,0,9,111,0,0
185,2020-04-06 13:00:00.0,2218,0,1454,0,0,0
51,2020-04-06 13:00:00.0,164,0,66,37,0,0
52,2020-04-06 13:00:00.0,2091,0,560,28,0,0
53,2020-04-06 13:00:00.0,85,0,4,281,0,0
54,2020-04-06 13:00:00.0,530,0,57,82,0,0
55,2020-04-06 13:00:00.0,120,0,55,5,0,0
56,2020-04-06 13:00:00.0,281,0,209,0,0,0
57,2020-04-06 13:00:00.0,2179,0,17,341,0,0
58,2020-04-06 13:00:00.0,568,0,0,75,0,0
90,2020-04-06 13:00:00.0,3575,0,268,0,1,0
91,2020-04-06 13:00:00.0,363,0,105,14,0,0
92,2020-04-06 13:00:00.0,77,0,69,48,0,0
93,2020-04-06 13:00:00.0,70,0,0,6,0,0
94,2020-04-06 13:00:00.0,224,0,33,29,0,0
95,2020-04-06 13:00:00.0,1296,0,122,59,0,0
96,2020-04-06 13:00:00.0,232,0,22,56,0,0
97,2020-04-06 13:00:00.0,950,0,34,4,0,0
98,2020-04-06 13:00:00.0,513,0,1,0,0,0
99,2020-04-06 13:00:00.0,942,0,213,8,0,0
100,2020-04-06 13:00:00.0,952,0,5,67,0,0
101,2020-04-06 13:00:00.0,352,0,11,40,0,0
144,2020-04-06 13:00:00.0,47,0,41,0,0,0
145,2020-04-06 13:00:00.0,783,0,1,204,0,0
1,2020-04-06 13:00:00.0,1866,0,16,5,0,0
2,2020-04-06 13:00:00.0,162,0,0,49,0,0
3,2020-04-06 13:00:00.0,930,0,16,61,0,0
4,2020-04-06 13:00:00.0,486,0,9,176,0,0
5,2020-04-06 13:00:00.0,1030,0,142,156,0,0
6,2020-04-06 13:00:00.0,3585,0,50,0,1,0
22,2020-04-06 13:00:00.0,3585,0,79,12,1,0
23,2020-04-06 13:00:00.0,488,0,83,10,0,0
24,2020-04-06 13:00:00.0,256,0,2,46,0,0
25,2020-04-06 13:00:00.0,729,0,34,16,0,0
26,2020-04-06 13:00:00.0,378,0,85,313,0,0
27,2020-04-06 13:00:00.0,33,0,26,0,0,0
28,2020-04-06 13:00:00.0,486,0,50,12,0,0
29,2020-04-06 13:00:00.0,1646,0,45,68,0,0
30,2020-04-06 13:00:00.0,1447,0,156,0,0,0
31,2020-04-06 13:00:00.0,3577,0,30,272,1,0
32,2020-04-06 13:00:00.0,188,0,14,42,0,0
33,2020-04-06 13:00:00.0,0,7048,0,45,0,0
34,2020-04-06 13:00:00.0,1004,0,163,5,0,0
211,2020-04-06 13:00:00.0,790,0,63,23,0,0
59,2020-04-06 13:00:00.0,758,0,65,41,0,0
60,2020-04-06 13:00:00.0,3585,0,36,3,1,1
61,2020-04-06 13:00:00.0,714,0,9,118,0,0
62,2020-04-06 13:00:00.0,709,0,72,105,0,0
63,2020-04-06 13:00:00.0,542,0,308,0,0,0
64,2020-04-06 13:00:00.0,347,0,14,33,0,0
65,2020-04-06 13:00:00.0,160,0,0,119,0,0
66,2020-04-06 13:00:00.0,808,0,136,14,0,0
35,2020-04-06 13:00:00.0,3584,0,51,149,1,0
36,2020-04-06 13:00:00.0,16,0,0,171,0,0
37,2020-04-06 13:00:00.0,513,0,269,16,0,0
38,2020-04-06 13:00:00.0,814,0,488,4,0,0
39,2020-04-06 13:00:00.0,76,0,246,1,0,0
40,2020-04-06 13:00:00.0,322,0,163,10,0,0
41,2020-04-06 13:00:00.0,485,0,74,24,0,0
42,2020-04-06 13:00:00.0,392,0,0,10,0,0
43,2020-04-06 13:00:00.0,419,0,169,0,0,0
44,2020-04-06 13:00:00.0,1180,0,9,4,0,0
45,2020-04-06 13:00:00.0,398,0,178,22,0,0
46,2020-04-06 13:00:00.0,1230,0,28,117,0,0
47,2020-04-06 13:00:00.0,24,0,20,0,0,0
48,2020-04-06 13:00:00.0,721,0,375,22,0,0
168,2020-04-06 13:00:00.0,758,0,58,10,0,0
169,2020-04-06 13:00:00.0,249,0,0,93,0,0
170,2020-04-06 13:00:00.0,1149,0,26,26,0,0
171,2020-04-06 13:00:00.0,889,0,98,0,0,0
172,2020-04-06 13:00:00.0,1069,0,106,28,0,0
110,2020-04-06 13:00:00.0,535,0,281,14,0,0
111,2020-04-06 13:00:00.0,403,0,188,1,0,0
112,2020-04-06 13:00:00.0,228,0,569,0,0,0
113,2020-04-06 13:00:00.0,132,0,29,0,0,0
114,2020-04-06 13:00:00.0,1148,0,97,44,0,0
115,2020-04-06 13:00:00.0,462,0,6,26,0,0
116,2020-04-06 13:00:00.0,0,0,4,0,0,0
102,2020-04-06 13:00:00.0,2369,0,4,235,0,0
103,2020-04-06 13:00:00.0,272,0,423,0,0,0
104,2020-04-06 13:00:00.0,691,0,57,3,0,0
105,2020-04-06 13:00:00.0,1114,0,36,226,0,0
106,2020-04-06 13:00:00.0,3585,0,72,9,1,0
107,2020-04-06 13:00:00.0,36,0,147,2,0,0
108,2020-04-06 13:00:00.0,215,0,168,48,0,0
109,2020-04-06 13:00:00.0,471,0,22,44,0,0
10,2020-04-06 13:00:00.0,166,0,22,1,0,0
11,2020-04-06 13:00:00.0,943,0,39,112,0,0
12,2020-04-06 13:00:00.0,114,0,83,0,0,0
13,2020-04-06 13:00:00.0,190,0,9,20,0,0
14,2020-04-06 13:00:00.0,481,0,405,0,0,0
15,2020-04-06 13:00:00.0,372,0,585,0,0,0
16,2020-04-06 13:00:00.0,463,0,3,124,0,0
17,2020-04-06 13:00:00.0,445,0,168,64,0,0
18,2020-04-06 13:00:00.0,265,0,245,1,0,0
19,2020-04-06 13:00:00.0,0,7168,9,200,1,0
20,2020-04-06 13:00:00.0,350,0,15,130,0,0
21,2020-04-06 13:00:00.0,113,0,141,1,0,0
69,2020-04-06 13:00:00.0,194,0,141,78,0,0
70,2020-04-06 13:00:00.0,514,0,82,22,0,0
71,2020-04-06 13:00:00.0,0,0,0,0,0,0
72,2020-04-06 13:00:00.0,207,0,48,25,0,0
73,2020-04-06 13:00:00.0,3584,0,4,95,1,0
74,2020-04-06 13:00:00.0,598,0,262,17,0,0
75,2020-04-06 13:00:00.0,2117,0,3,93,0,0
76,2020-04-06 13:00:00.0,526,0,175,38,0,0
77,2020-04-06 13:00:00.0,145,0,56,10,0,0
78,2020-04-06 13:00:00.0,3583,0,0,115,1,1
79,2020-04-06 13:00:00.0,42,0,88,59,0,0
80,2020-04-06 13:00:00.0,94,0,37,13,0,0
81,2020-04-06 13:00:00.0,2385,4457,957,4937,0,0
82,2020-04-06 13:00:00.0,3585,0,26,48,1,1
83,2020-04-06 13:00:00.0,124,0,5,51,0,0
84,2020-04-06 13:00:00.0,576,0,18,90,0,0
85,2020-04-06 13:00:00.0,434,0,215,0,0,0
86,2020-04-06 13:00:00.0,75,0,175,0,0,0
87,2020-04-06 13:00:00.0,1515,0,81,272,0,0
88,2020-04-06 13:00:00.0,558,0,70,160,0,0
89,2020-04-06 13:00:00.0,428,0,197,3,0,0
128,2020-04-06 13:00:00.0,2036,0,253,0,0,0
129,2020-04-06 13:00:00.0,1262,0,15,1,0,0
130,2020-04-06 13:00:00.0,2,0,36,0,0,0
131,2020-04-06 13:00:00.0,3579,0,230,11,1,0
132,2020-04-06 13:00:00.0,285,0,60,1,0,0
133,2020-04-06 13:00:00.0,166,0,31,120,0,0
134,2020-04-06 13:00:00.0,172,0,58,11,0,0
135,2020-04-06 13:00:00.0,1810,0,32,0,0,0
136,2020-04-06 13:00:00.0,3332,0,296,65,0,0
137,2020-04-06 13:00:00.0,181,0,159,47,0,0
138,2020-04-06 13:00:00.0,7,0,36,74,0,0
139,2020-04-06 13:00:00.0,795,0,0,293,0,0
140,2020-04-06 13:00:00.0,488,0,166,16,0,0
141,2020-04-06 13:00:00.0,74,0,109,32,0,0
142,2020-04-06 13:00:00.0,4,0,2,0,0,0
143,2020-04-06 13:00:00.0,218,0,3,16,0,0
7,2020-04-06 13:00:00.0,0,0,0,11,0,0
8,2020-04-06 13:00:00.0,168,0,69,7,0,0
9,2020-04-06 13:00:00.0,911,0,64,68,0,0
146,2020-04-06 13:00:00.0,48,0,93,0,0,0
147,2020-04-06 13:00:00.0,26,0,28,59,0,0
148,2020-04-06 13:00:00.0,1363,0,0,244,0,0
149,2020-04-06 13:00:00.0,144,0,11,73,0,0
150,2020-04-06 13:00:00.0,437,0,5,95,0,0
151,2020-04-06 13:00:00.0,430,0,5,183,0,0
152,2020-04-06 13:00:00.0,498,0,37,268,0,0
153,2020-04-06 13:00:00.0,443,0,84,19,0,0
